Review text,Ratings,label
Waste product MORE,1,0
I have used same shuttle before. This item is not the same quality. It's to slow. Disappointed that time. MORE,1,0
Very High Price MORE,1,0
"Bad bad , compare to ah year back coming mavis 350 MORE",1,0
"The yonex Mavis 350 is the best among all the yonex shuttlecocks. I am playing with it for more than one year. But the price is increasing unnecessarily, it was Rs. 729 in the last year. MORE",5,1
Very bad product quality i have used 3shuttle in only 3days Totally wastage of money Copied product MORE,1,0
All shuttle's were heavier than the specifications. It felt like we were playing with a cheap rip off of the original MAVIS 350 MORE,1,0
3rd class quality  I want Returns but time is over MORE,1,0
Worst shuttle ever. The shuttles started spinning after few shots and did not even come for a game. MORE,1,0
Certain corks are damaged. Certain corks are not even came for 2 matches MORE,1,0
Very bad quality 👎 MORE,1,0
Not expected quality MORE,1,0
Bad quality.... couldn't play 1hr  by an shuttle MORE,1,0
not durable. very poor quality MORE,1,0
but price is littel bit high MORE,4,1
Good MORE,5,1
Nice MORE,3,0
not the required one. MORE,5,1
This product is not original.please avoid online purchase. MORE,1,0
One shuttle was damaged and vobling..let me know what to do MORE,1,0
Good quality product MORE,4,1
Good shuttle and  classic product MORE,5,1
got defective pieces MORE,1,0
"bad packing, unsatisfied MORE",1,0
Pros1. Quality product by yonex.It is original.2. Shuttle runs very long.3. Prompt delivery by flipkart.4. Shuttle is durable.Cons1.None MORE,5,1
good quality..  nice product..  thanks fpr fast delivery MORE,5,1
Nice cocke MORE,5,1
Good quality MORE,5,1
Scratch code mentioned in the barrel was verified in Yonex - Sunrise website. It mentioned that the product was duplicate. MORE,1,0
it's awsm 😎 MORE,4,1
reasonable price MORE,5,1
"Excellent Product , Its 100% original product which i have received , Fast Delivery , No second tough go for it..... MORE",5,1
One of the best offer given by My flipkart. best shuttle for tournaments and training. Always use this type of shuttles for play. No.1- yonex 350mavis Green. thanks to flipkart for best deal . always put these type of deal . i have booked for 599 only....... MORE,5,1
"good . no question about it . lasting for 15-20 matches . but you can purchase yonex mavis 350 blue one . little bit fast but good for smash , lasting same like green cap MORE",4,1
Mavis 350 is quite durable and and really good for starters. But I recommend Mavis 500 for best practice sessions. MORE,4,1
"Received product before committed time. Thanks flipkart... This mavis 350 is really awesome product. It doesn't matter whether you are beginners, intermediate or advanced level of player this mavis 350 is definitely perfectly works for all. I am playing with this from last 2 years. MORE",4,1
"Good ,very nicely packed and everyshuttle was very nice insude with perfect flight. MORE",5,1
"got this product earlier than expected at Rs689 on 7 th april 2018  on sale. box was properly sealed with Feb2018 packing/import date i m not sure but Mrp was 1040. so, for me it was way cheaper than market price here (Rs 750 per box). I also checked popular websites but no one was close to Flipkart at that point. I always use Mavis 350 green cap for its stability, durability and speed in open court. Thanks Flipkart, hoping cheaper deal again. MORE",5,1
"This is the best choice for people who wants to practice both indoor and outdoor badminton and not get into financial obligations of feather shuttle. Mavis 300 is hard to find at times, so 350 is a savior as it's always available. Yellow ones are a bit better for outdoor and white is fine indoors because of their respective colours against the given backdrop. Flipkart has offered best price in almost all season so far. Longevity of the shuttles are starkly less when played with at outdoor due... MORE",5,1
"After a long time, got an entire box of genuine shuttles. Dynamic pricing strategy is a big no. Everyday prices can't go up and down. Otherwise we would be more than happy to buy. MORE",4,1
very good product n durable but not good enough speed slows down little in mid air MORE,4,1
The shuttles were imported in February 2018 (bought March last) and the serial number revealed after scratching the sticker shows that the item is genuine. Did not start to play yet. But the items look good and sturdy. Got it for 708 and i think it is worth for the price. Also happy to get the items delivered quickly. MORE,4,1
Best shuttlecocks... It's life is far better than li ning or any other shuttle in this price range... I purchased it from rs654  during sale... It's flight is also better than other shuttlecocks MORE,5,1
Good n Nice balanced shuttles... Thanks retailnet n flipkart.. Hope we'l get more convincing rates of lowered one... MORE,4,1
"This shuttle is the best one, it is excellent 👍 price doesn't matter ❤️ MORE",5,1
"Quality  very bad,per day one cork finished,may be it look like duplicate  mavis 350 corks.I purchased  many cork boxes  from all sellers.that all cork  boxes  comes  15 days  for playing, but this box stays only 6 days ,so you understand  how delicate this cork box  is MORE",1,0
Cost is too high I hate the product MORE,1,0
Very poor quality...inconsistent speed...poor flight MORE,1,0
Yonex is always best in quality.... MORE,5,1
worst shuttle... these doesn't last even for a day... very poor quality... not sure if it is due to stock issue or is that a copy product... I would never buy this through flipkart... MORE,1,0
"i have used this product. good for economic use. Durable and good balance. long lasting, even sustains wrong shots. Quiet economic when compared with Feather Shuttles. MORE",5,1
I'm very happy with this product and its quality. It arrived before its actual delivery date given. Thanks Flipkart for your quick delivery.  I recommended it to everyone who would like to enjoy a longer and satisfied games. MORE,5,1
Amazing shuttlecockDurable and of best qualityGo for it. MORE,5,1
checked at Sunrisetnt.com . found genuine MORE,5,1
Horrible!!! In my 1st order I received Mavis 200i which was not sealed and the bill was of Mavis 350 I thought it was mistake then i asked for replacement in replacement I received box of Mavis 350 which was again not sealed and inside were cheap shuttles of local quality. Do not buy from Flipkart. MORE,1,0
Average MORE,2,0
"Excellent synthetic shuttles from Yonex. I have used 350s, 500s as well as 2000s. I prefer these yellow ones for the visibility. In general the 350s are quite durable and long lasting (one shuttle can easily last half a dozen to a dozen intense games before the flight becomes unacceptable), and i found them to travel shorter distances than the 2000s and therefore prefer them. MORE",5,1
Best shuttle available in the market. I have not used any other shuttles till now. So not aware of a better shuttle.The price I got it from Flipkart is really the best price. I have researched checking other online stores and sports shops. This is definitely the best price I could find. MORE,5,1
"Bad quality, i have pirchase 4 boxes but all are very fast. MORE",1,0
Best shuttle available online no more discription needed. MORE,5,1
long lasting product.....nice product.... MORE,5,1
best shuttle MORE,5,1
🏸Good Quality... 🏸 MORE,5,1
Fabulous item MORE,5,1
Nice quality.Very good product.I am very much thankful to Flipkart and the Courier company for delivering me so quickly.I am very happy.And I will definitely tell to my friends to order this product. MORE,5,1
Feels the quality is far less compared to previous set which was brought from other platform. 1 Shuttle is breaking or wobbling per 1 hr game session.. Feeling cheated.. MORE,1,0
This is the original mavis 350 MORE,5,1
Bad quality and poor quality while playing the ahuttles caps or loose MORE,1,0
Two shuttles were durable out of 6.. MORE,3,0
Poor quality. It was horrible. I didn't play two games with each shuttle MORE,1,0
Worst product. Every ball in this box got flat within one or two strokes. The disappointed fact is Flipkart is not accepting the replacement because of open box delivery. Without using the product how could I know the quality? MORE,1,0
Best one MORE,5,1
Excellent product👌 MORE,5,1
Very Bad Quality in filpkart MORE,1,0
Delicate product MORE,3,0
Bad quality MORE,1,0
Don't have good quality MORE,1,0
Quality of 2 shuttles not as per Mavis 350 standards. MORE,1,0
It's is good product and the service was very good MORE,5,1
2nd quality MORE,1,0
Local product MORE,2,0
Very old stock.. not lasts to even 5 games MORE,2,0
All shuttles are not good in view of balance. MORE,1,0
Ok MORE,5,1
Nice product all suttles are good 🥰🥰 MORE,5,1
Nice product MORE,5,1
Old one only MORE,2,0
Super ball MORE,5,1
According to cost it's average life MORE,5,1
So worst MORE,2,0
👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎Poor quality 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎 MORE,1,0
Quality not good              It was broken after 2 match MORE,1,0
Nice product but damage in 1 days MORE,2,0
Not good at all this is the worst product I have bought at flipkart MORE,1,0
Low quality. Not durabality MORE,5,1
Badly MORE,1,0
Very bad quality MORE,1,0
Very bad product a word to describe I write duplicate product MORE,1,0
This time quality very very worst MORE,1,0
Poor quality ☹️ MORE,2,0
Very  low bad quality product Flipkart is fooling everyone MORE,3,0
"This shuttles were duplicates, these were not up to the mark. MORE",2,0
Very bad product I ever received MORE,1,0
Bad copy quality riceve MORE,1,0
Waste of money MORE,1,0
Quality is very bad and very very tired class shuttecock MORE,1,0
So poor quality MORE,1,0
Reate is wery to much MORE,1,0
The worst shuttle ever I used so far. Don't buy this product. It is low in quality MORE,1,0
not upto mark cork getting cracks MORE,2,0
Very poor quality Is not lasting for one set. Base is breakinf and the top is worn MORE,1,0
"Bad quality, not good at all I dont like to prefer, beacuse delivery it's too late and as they comfortable they will change as theirs elf near me product is there also they will not deliver, if any emergency things don't order from flipcart better go some other apps ,....really too bad service.. product quality also too bad MORE",1,0
Very good MORE,5,1
Good quality of shuttles MORE,5,1
"I'm writing this review only because before i have rated only 3 star because i received a duplicate product,,,now I'm rating 5 star as i have received the original yonex mavis 350 shuttle,,thank you and in future i hope i will only receive the original products MORE",5,1
Bad producted MORE,1,0
Good product MORE,4,1
Received counterfeit product. MORE,3,0
If u play with this for about 3 to 4 hours daily then 1 shuttle would last for maximum 2 days.. MORE,5,1
Good product MORE,5,1
One day 1cap gaan MORE,3,0
Superb. But why price is higher day by day. Between two weeks price is gained 170rs MORE,5,1
Very costly now during lockdown phase previously it os 650 now sometimes 750 sometimes 850 MORE,3,0
Best MORE,5,1
I play every day with this and we play really hard in Courts. This has always been a best choice. MORE,4,1
This item is so good you can buy it it is original MORE,5,1
Excellent for Indoor court MORE,5,1
Genuine product. Nice packing. MORE,5,1
Good quality..😍🖤 MORE,5,1
Nice thanks  Flipkart MORE,4,1
"Gradual decrease in quality, less longevity. MORE",3,0
wow product MORE,4,1
1 box out of 4  boxes has very bad shuttle. All shuttles of that box was not playable. MORE,1,0
Product is not same as shown in the picture. MORE,1,0
just Average.... not 100% good MORE,3,0
"I realized that not to buy  shuttles from online ever. cheap and duplicate product.  no refund of your amount, only replacement of the product. plz don't waste your money. MORE",1,0
Shuttle is just okayish.It's movement in the air is a bit different from other Mavis 350s. MORE,2,0
I found that some of the shuttle are different MORE,3,0
shuttle was not of genuine conectarte quality MORE,1,0
poor quality MORE,1,0
2 balls are waste. they are rotate. unable to play. MORE,4,1
very poor quality.... 1 shuttle in not standing more than 2 days MORE,1,0
original product MORE,5,1
Shuttle not good MORE,2,0
good as expected MORE,5,1
good MORE,5,1
Yonex Mavis 350 is not a pure item. shuttle's are so old MORE,1,0
"Nice product 👌👌👌👌👌👌👌😎.I suggest you,plz buy this product .This is original product.Made in Japan 😀 MORE",5,1
Good👍 MORE,4,1
very nice MORE,5,1
nice MORE,5,1
nice shuttle for outdoor MORE,5,1
amazing cost and amazing one MORE,5,1
The packing made by flipkart is absolutely perfect and the mavis 350 are pretty good But I think this is very cost for this out side we can get it for just rs600 we can play very hard with these shuttles MORE,4,1
good dilevary and very good product MORE,5,1
it's worth MORE,3,0
Good MORE,3,0
Looks like these are fake shuttles & not sold by yonex. MORE,1,0
worst product not to buy low quality MORE,1,0
shuttles were shapeless as they may have been mishandelrd while in transportation MORE,1,0
product is not good MORE,1,0
"5 days for a delivery, it's something really very frustrating, even till now I didn't get the product.. please work on service. MORE",1,0
bad quality MORE,1,0
Very good product MORE,5,1
best quality shuttles MORE,5,1
good quality. value the money MORE,5,1
very good MORE,3,0
Very worst MORE,1,0
NOT BAD.... MORE,4,1
shuttle is very good for me I am playing for last 8 days and the shuttle is still good.Value for money.Thank u Flipkart. MORE,5,1
"Bad Quality,,,,,, MORE",1,0
Quality is not good. Little bit fast. MORE,2,0
Excellent it's original as I buy in local sports stores MORE,5,1
"Poor quality, shuttle become broke within 3-4 hour playing .ie within 1 day MORE",1,0
The shuttles worn off really quickly. More quickly than a regular mavis 350 does. So I tried to verify the authenticity of the product by entering the code on it onto the website and lo it was a genuine product.I've attached the pictures for reference. It developed a hairline crack so quickly after just half a match. All other shuttles had the same quality. MORE,1,0
Nice product best price super MORE,5,1
If you are a professional player and played in Mavis 350 green colour then don't go for this product as this is lighter and slower than the green one. If you are a new buyer then you can go ahead and buy it as it doesn't matter. The speed is slower than the green Mavis 350 MORE,3,0
Optimum weight and speed.. Easy to control the shots and easy court cover.  Good for learners and even beginners.. Base is not that of thermocol type material like its there in other yonex shurttles.. its a cork base so doesn't  get ruptured easily..  Worth buying👍 MORE,4,1
It's not suitable for outdoor MORE,1,0
It seems it is not original. Lighter and not lasting for more than an hour of play. MORE,2,0
Horrible shuttle I ever play MORE,2,0
"Finally got orginal yonex mavis 350.Genuine piece.There are so many fakes avilable in market.so serious players buy from here, you wont regret. MORE",5,1
One shuttle lasts hardly 5 days which is very less. So I would suggest to the makers to keep in mind this thing before manufacturing. Price is also very high. Make it either durable or cheap for user friendly. MORE,3,0
"Item received in excellent condition, that too within one day. Thanks to the team. However one suggestion, please don't send the item in such a big cardboard box. Its actually a wastage of resources. MORE",5,1
Used both the boxes... People who say they are fake have either never played with mavis 350 or may have received a damaged box that might have disturbed the flight of the shuttle.... For me who plays with mavis 350 day in and day out... It is absolutely original and being speed 75...it plays well in Delhi heat above 35 degrees.... Will order more MORE,5,1
"Product is good as like as bought in the open market. Price also is equal to open market. It would be good in on line, if price is less. MORE",5,1
nice items MORE,5,1
Thank you flipkart for providing such a great product with good quality and great deal. MORE,5,1
shutte is durable(lasts long) with good flight time ...much better than what I purchased at local store. also with offer it is cheaper MORE,5,1
I love it.....It is really very guudAs well as it has a fantastic delivery It's so early also MORE,5,1
it's really good shuttle.  if you  want to improve your game it's best and also durable . it's flight is good and weight balance is superb.  it's best for amateur  level MORE,5,1
Not convinced with the quality of product. MORE,3,0
"There is no option to put images in the review section , the shuttles delivered were all used ones and not even Mavis 350 , The seller must be totally  unprofessional  , a basic check of a seal should be taken care by Flipkart atleast MORE",1,0
ok MORE,3,0
Value for Money MORE,4,1
Excellent product but cost is higher MORE,5,1
one Shuttle just broken in 4 days by a smash MORE,2,0
"Shuttle is very poor,Guys dont purchase,flipkhart check with supplier,other very big impact other sales also MORE",1,0
"nice shuttle , The Flight is correct, and good durability. MORE",5,1
Ball best but local rate are high MORE,4,1
"Good, but flipcart price is too high. From the market we get it only 110 rs per peace MORE",3,0
"Good, slow type cork, we r using it for daily game, one cork lasts for 3 days MORE",4,1
Best shuttlecock ever.... we play everyday for abt 4 hours continusly.... and we still use 1 shuttlecock for about 8 to 10 days... it's very durable.. and has got really good flight... Yonex rocks.... 👍 MORE,5,1
Very worst rate MORE,1,0
shuttle has long life and light. MORE,5,1
Worst product.Dont go for it.It will not stand for an hour play MORE,1,0
You are fleecing customers by tagging wrong MRP. MORE,1,0
Better for beginners MORE,5,1
"shuttle not Good ,even  1 match it will come,think twice before purchase MORE",1,0
Its okk MORE,2,0
1st time order quantity is good but next time quality is very poor . Shuttle not looking same also . MORE,2,0
Nice product for practice MORE,5,1
Excellent MORE,5,1
Good one MORE,5,1
Nice MORE,5,1
Good MORE,4,1
It is good . MORE,5,1
Original product with great discount MORE,5,1
Good product MORE,3,0
"Absolutely good quality shuttles,and great packing by the team. MORE",5,1
Product  is  good  but  price  is  increased  Retailer  price  is  620 . MORE,3,0
"Dear Retailnet, this is the second order, second order  was ifferent to first one. this one the packing look different and the quality was nice.thanks happy with the second order MORE",5,1
"Best cicks,but price was very highest please think it MORE",5,1
Poor product... MORE,2,0
Poor quality MORE,2,0
Value for money MORE,5,1
Not bad MORE,3,0
Not so good. MORE,2,0
Quality not good and rotate the cork new one MORE,2,0
Very worst product MORE,1,0
Best quality MORE,5,1
One roll of corks Only two piece of cork is goodBut other four corks is waste after one match corks rolling So don't buy this product MORE,1,0
"Bad product. Out of 6, one or two number shuttle were good. All others are getting damaged in one match MORE",3,0
Bad quality . MORE,1,0
Nice product and packing MORE,4,1
This seems to be duplicate...general shuttle can be used around 3 to 5 days..but this online purchased product cannot be used more than 1 day...you can feel the difference with the shuttle while playing MORE,1,0
Super MORE,5,1
Going bad quickly. 1 to 2 days. MORE,1,0
"Extremely good,fully satisfied with its quality wishes to place repeat order MORE",5,1
Best shuttle cork MORE,5,1
After playing 3to 4 matches cork gets rotate.  No longer used to play further games. MORE,3,0
Good quality product MORE,5,1
Best for out game MORE,3,0
You. Should definitely buy this MORE,5,1
"Nice quality, genuine product and affordable price MORE",5,1
It is good for outdoor. Easy to spoil when it contact with water. MORE,4,1
Nice must buy MORE,5,1
Nice one MORE,5,1
Excellent 👌 MORE,5,1
Thanks Flipkart MORE,5,1
Ok MORE,3,0
Breaking in 1 hour game . Bad quality MORE,3,0
As expected... Nice.. MORE,4,1
Superb.. MORE,5,1
Good products MORE,4,1
Nice MORE,4,1
Nice product and longlife MORE,5,1
Worthy MORE,4,1
Very nice product thank you Flipkart original Mavis 350 .... MORE,5,1
Nice product. . MORE,5,1
I received original product. MORE,4,1
"Very good shutles , MORE",5,1
One ball play on one week MORE,4,1
Genuine product MORE,5,1
Best products of whole yonex company MORE,5,1
Bad quality... MORE,1,0
Very nice MORE,5,1
The bottom quality is not up to the mark. The wooded cork breaks apart when directly hit by the frame. MORE,3,0
Okay ok MORE,3,0
Ok MORE,4,1
"It was a genuine product, received in perfect condition. MORE",5,1
Easily got damaged MORE,1,0
Worst box MORE,1,0
On time delivery and quality was good MORE,5,1
Now a days getting bad quality. MORE,3,0
THIS SHTLES ARE VERY NICE AND ORIGNAL .ONE CAN BUY FROM THIS SITE MORE,5,1
Nice 👍👍👍 MORE,5,1
Some shuttle quality wise not good actually we need to hit the shuttle with more power even thought it won't. MORE,4,1
Very bad not good MORE,1,0
Very bad product MORE,1,0
Very poor quality. Don't buy. MORE,1,0
It's good MORE,4,1
Nice... Cost was high MORE,5,1
Product is good prices are high MORE,4,1
Quality not good MORE,1,0
Good. MORE,4,1
Fantastic MORE,5,1
Full Balanced Shuttle Great Experience with Flipkart MORE,5,1
Okay MORE,5,1
shuttle are very smooth i like it MORE,5,1
350 best shuttle for intermediate players. MORE,5,1
Superb quality MORE,5,1
Very worest MORE,1,0
Price is too high MORE,3,0
Good Quality and more discount. 👌👌 MORE,5,1
Good product quality MORE,5,1
"This set of shuttle is very fine and long lastic , sustainable. MORE",5,1
Worth to buy MORE,5,1
"Prodct is good, long lasting and powerfull. MORE",5,1
Reliable product with best service MORE,5,1
Try to reduce the cost this products MORE,3,0
Great shuttle MORE,4,1
Well condition MORE,4,1
Always good... MORE,5,1
"Product is good,but price costly MORE",5,1
Great shuttle best in all MORE,4,1
It's nothing to say hate but it's fantastic.... MORE,5,1
Goodproduct MORE,5,1
Valuable product 👍 MORE,5,1
Quality not good... MORE,3,0
Very good MORE,4,1
Best Quality MORE,5,1
Nice shuttle MORE,5,1
Durable and pretty smooth while controlling MORE,5,1
Good one MORE,4,1
"Nice, MORE",5,1
Good 😊 MORE,5,1
Gud quality MORE,5,1
Worst product no qulity MORE,1,0
"Awesome.,..got at such a price.....thank you so much flipkart MORE",5,1
Very nice products MORE,5,1
As expected. Thank you MORE,5,1
Using this product Mavis 350 for years . But this time very poor quality shuttles received.. MORE,2,0
Not good no variginal MORE,1,0
Very good.. recommended MORE,5,1
The best yonex MORE,4,1
Nice og product MORE,5,1
Bad quality product MORE,1,0
Worst products not buy online shop yonex mavis 350 MORE,1,0
Supr 👍 MORE,4,1
The shuttles are very nice. Nothing to complain about MORE,5,1
There is no debate these are the best in the market but are always out of stock MORE,5,1
It is excellent item. Good performance MORE,5,1
Very nice n original product MORE,5,1
Very good shuttle MORE,5,1
This is really nice as I use this for a long time and particularly from this seller - BPTL MORE,5,1
Original product MORE,5,1
Good priduct quality MORE,5,1
Not bad MORE,4,1
"Very worst product, each shuttle not lasting for a single match MORE",1,0
Very nice product MORE,5,1
This price segment one of the best shuttle by Yonex I'm used this product last 4year experience best this segment ☺️ MORE,5,1
"These are fake shuttles, and didn't even last a day, each shuttle was broken in the same manner, the bottom cork kept breaking without even damaging the skirt or without any notable wear and tear caused while playing. MORE",1,0
Super product MORE,5,1
received original quality..durability is pretty good.. got original Mavis 350 ..thanks MORE,5,1
Attrocious.  Product was not worth.  Please avoid selling such item to sustain in market. MORE,1,0
The product although satisfies it's quality. MORE,5,1
Okay MORE,4,1
Durable product MORE,5,1
Quality not adequate MORE,1,0
Good ones MORE,5,1
Nice shuttle MORE,4,1
Best produce 100% genuine MORE,5,1
"Mavis 350 shuttlecock is best but the product i received was not original. Maybe this is the fault of the supplier. We could play one or two games (basic, intermediate) using one shuttlecock but with the original shuttlecock we could play a 10 15 match. So be careful when you are buying. MORE",1,0
"Worst quality, i never expected this from Flipkart. MORE",1,0
Genuine shuttles and hence trusted seller MORE,5,1
Very geniune product and more durable thanks for flipkart MORE,5,1
Original shuttles ni doubt MORE,5,1
Great deal MORE,5,1
Very Good for daily use. If price was around 500. It would have been good MORE,3,0
Quality of the shuttle is comes down MORE,3,0
Great combo MORE,5,1
Worst Quality it's not the fault of Yonex but this hera pheri is done by Flipkart facility centre it's fare with costumer it's loss of time and money MORE,1,0
"Good Product.  Thanks, flipkart, for fastest delivery MORE",5,1
The product was with low quality. Waste of money MORE,1,0
Super quality and worth for money MORE,5,1
We always prefer this one 🏸 MORE,5,1
Product is good MORE,5,1
Very good quality. MORE,5,1
"The shuttles was excellent , many are thinking that the shuttles which we are buying can be develivered as a duplicate ones but they are real. MORE",5,1
Really good MORE,5,1
Good 👍🏻 MORE,5,1
It is original one and one day delivery within 24hrs MORE,4,1
It will become damaged after two games MORE,3,0
Nice but 10game after loose cork MORE,5,1
Not good MORE,1,0
"After 2 ,3 games it is spinning MORE",3,0
It's not good.. MORE,2,0
Nice not good MORE,3,0
Bad MORE,1,0
Superb MORE,4,1
As usual best in market MORE,5,1
Excellent shuttles for intermediate players in indoor MORE,5,1
Quality of this product become poor when we buying from flipkart...nit recommended MORE,2,0
Worst quality MORE,1,0
Worth of Cost MORE,5,1
Supar MORE,5,1
best in market MORE,5,1
It is very good product it is better than other Yonex suttle in the range of 1100 aprox MORE,5,1
Nice good Quality MORE,5,1
Excellent product MORE,5,1
Good sbuttle's👍🏻 MORE,5,1
Good but delivery date is late MORE,5,1
"Product are good only, but we received the stocks ,which is 3-4 month befor manufactured. MORE",3,0
Great product. Timely delivery MORE,5,1
The best MORE,5,1
My daughter is happy n dilivary  boy behavior is very good MORE,5,1
Very Light Weight compare to offline products MORE,2,0
Very good quality MORE,4,1
"The mavis 350 nylon shuttle quality is poor, it lost its shape within two matches of play MORE",1,0
Fantastic Product and Absolutely amazed by the pricing of this and the speedy delivery within 2 days to my doorstep.😃 MORE,5,1
Nice product good quality some pics are very slow MORE,3,0
Very good MORE,1,0
Ok good MORE,5,1
Good to play MORE,5,1
Nice product MORE,4,1
Not bad MORE,2,0
Value for money bad product MORE,2,0
It lasted only 2 3 hours of play. MORE,3,0
Good play MORE,5,1
Very nice must buy.. MORE,5,1
Faster than the shuttle I bought from shop. Getting spoilt in an hour game and all shots go out of court. MORE,3,0
Not the best... MORE,3,0
Shuttle getting damaged in a single game MORE,2,0
It's nice MORE,4,1
Superb ❤️❤️👌 MORE,5,1
Fine for play but costly MORE,5,1
The bottoms of the corks are having lot of holes and which are easily get damaged after 3 to 4 matches MORE,1,0
Product is not good quality MORE,3,0
Fast delivery and price low cost I am very happy to buy this item MORE,5,1
Valueable product... MORE,5,1
I got original product. We play between intermediate and advance level. 7 days have passed still we are using the first shuttle from the barrel.  A single shuttle can last for around 10-15 days ( 1hr game daily). I am satisfied with the product and it's durability. We play on a outdoor cement  court. MORE,5,1
Not good not bring money West MORE,1,0
Very nice good MORE,5,1
